,Severity Id,Issue Type Name,Threat Class,Security Risk,Cause,Analysis Result,Result
0,3,authentication credentials unprotected,insufficient authentication,it may be possible to bypass the web application s authentication mechanism,insufficient authentication method was used by the application,no need to fix,False Negative
1,3,authentication credentials unprotected,insufficient authentication,it may be possible to bypass the web application s authentication mechanism,insufficient authentication method was used by the application,no need to fix,Duplicate
2,3,authentication credentials unprotected,insufficient authentication,it may be possible to bypass the web application s authentication mechanism,insufficient authentication method was used by the application,no need to fix,Duplicate
3,3,authentication credentials unprotected,insufficient authentication,it may be possible to bypass the web application s authentication mechanism,insufficient authentication method was used by the application,no need to fix,Duplicate
4,3,authentication credentials unprotected,insufficient authentication,it may be possible to bypass the web application s authentication mechanism,insufficient authentication method was used by the application,no need to fix,Duplicate
5,3,authentication credentials unprotected,insufficient authentication,it may be possible to bypass the web application s authentication mechanism,insufficient authentication method was used by the application,no need to fix,Duplicate
6,3,authentication credentials unprotected,insufficient authentication,it may be possible to bypass the web application s authentication mechanism,insufficient authentication method was used by the application,no need to fix,Duplicate
7,3,authentication credentials unprotected,insufficient authentication,it may be possible to bypass the web application s authentication mechanism,insufficient authentication method was used by the application,no need to fix,Duplicate
8,3,authentication credentials unprotected,insufficient authentication,it may be possible to bypass the web application s authentication mechanism,insufficient authentication method was used by the application,no need to fix,Duplicate
9,3,authentication credentials unprotected,insufficient authentication,it may be possible to bypass the web application s authentication mechanism,insufficient authentication method was used by the application,no need to fix,Duplicate
10,3,authentication credentials unprotected,insufficient authentication,it may be possible to bypass the web application s authentication mechanism,insufficient authentication method was used by the application,no need to fix,Duplicate
11,3,authentication credentials unprotected,insufficient authentication,it may be possible to bypass the web application s authentication mechanism,insufficient authentication method was used by the application,no need to fix,Duplicate
12,3,authentication credentials unprotected,insufficient authentication,it may be possible to bypass the web application s authentication mechanism,insufficient authentication method was used by the application,no need to fix,Duplicate
13,3,authentication credentials unprotected,insufficient authentication,it may be possible to bypass the web application s authentication mechanism,insufficient authentication method was used by the application,no need to fix,Duplicate
14,3,authentication credentials unprotected,insufficient authentication,it may be possible to bypass the web application s authentication mechanism,insufficient authentication method was used by the application,no need to fix,Duplicate
15,3,authentication credentials unprotected,insufficient authentication,it may be possible to bypass the web application s authentication mechanism,insufficient authentication method was used by the application,no need to fix,Duplicate
16,3,authentication credentials unprotected,insufficient authentication,it may be possible to bypass the web application s authentication mechanism,insufficient authentication method was used by the application,no need to fix,Duplicate
