,Severity Id,Issue Type Name,Threat Class,Security Risk,Cause
0,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
1,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
2,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
3,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
4,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
5,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
6,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
7,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
8,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
9,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
10,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
11,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
12,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
13,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
14,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
15,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
16,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
17,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
18,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
19,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
20,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
21,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
22,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
23,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
24,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
25,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
26,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
27,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
28,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
29,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
30,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
31,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
32,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
33,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
34,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
35,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
36,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
37,3.0,Command Injection,OS Commanding,It is possible to run remote commands on the web server. This usually means complete compromise of the server and its contents,No validation was done in order to make sure that user input matches the data type expected
